id_player,team,position,captain,height,country_,market_value,age
1015267,Wolverhampton,M,0,176.0,BRA,36000000.0,24
1035996,Wolverhampton,M,0,176.0,BRA,29000000.0,24
856250,Wolverhampton,D,0,191.0,CZE,21000000.0,26
1013928,Wolverhampton,D,0,180.0,ESP,10800000.0,23
876599,Wolverhampton,F,0,193.0,NOR,41000000.0,26
846308,Wolverhampton,D,0,189.0,URY,9200000.0,27
1096210,Wolverhampton,M,0,180.0,CMR,13200000.0,24
1014835,Wolverhampton,D,0,188.0,COL,10800000.0,24
844096,Wolverhampton,M,0,170.0,COL,16100000.0,28
786186,Wolverhampton,F,0,177.0,KOR,9200000.0,30
252669,Wolverhampton,G,0,192.0,PRT,4800000.0,33
1013842,Wolverhampton,D,0,192.0,CIV,18500000.0,28
98427,Wolverhampton,G,0,193.0,ENG,5300000.0,32
987734,Wolverhampton,F,0,196.0,NGA,20000000.0,25
973418,Wolverhampton,D,1,187.0,PRT,26000000.0,27
894733,Wolverhampton,M,0,187.0,ZWE,12400000.0,29
1899647,Wolverhampton,F,0,175.0,ENG,230000.0,18
1031283,Wolverhampton,D,0,185.0,NOR,9200000.0,23
845273,Wolverhampton,M,0,170.0,HTI,17600000.0,27
143047,Wolverhampton,D,0,182.0,IRL,1500000.0,34
552884,West Ham United,M,1,174.0,ENG,34000000.0,29
96531,West Ham United,G,0,195.0,FRA,6500000.0,32
1142562,West Ham United,M,0,178.0,PRT,31000000.0,21
894474,West Ham United,D,0,192.0,ENG,21000000.0,28
945217,West Ham United,D,0,189.0,FRA,25000000.0,26
917005,West Ham United,M,0,174.0,NLD,24000000.0,24
839981,West Ham United,M,0,180.0,BRA,36000000.0,28
829022,West Ham United,D,0,194.0,GRC,16300000.0,28
1471764,West Ham United,M,0,183.0,SEN,29000000.0,21
863653,West Ham United,D,0,183.0,COD,21000000.0,28
799041,West Ham United,M,0,192.0,CZE,11600000.0,30
823085,West Ham United,D,0,173.0,ENG,12100000.0,28
1089582,West Ham United,M,0,183.0,ENG,8400000.0,22
113956,West Ham United,F,0,180.0,ENG,5300000.0,33
1150952,West Ham United,M,0,180.0,ENG,7300000.0,20
1170560,West Ham United,M,0,188.0,FRA,18400000.0,22
877013,West Ham United,F,0,179.0,ARG,26000000.0,27
161717,West Ham United,M,0,177.0,ENG,5400000.0,31
132645,West Ham United,F,0,188.0,DEU,8600000.0,33
856640,West Ham United,G,0,187.0,DNK,15500000.0,25
553606,Tottenham Hotspur,G,0,194.0,ITA,29000000.0,29
998247,Tottenham Hotspur,D,0,193.0,NLD,63000000.0,24
913654,Tottenham Hotspur,D,0,173.0,ESP,37000000.0,26
829932,Tottenham Hotspur,D,1,185.0,ARG,56000000.0,27
945798,Tottenham Hotspur,D,0,184.0,ENG,33000000.0,25
791190,Tottenham Hotspur,M,0,187.0,URY,26000000.0,28
905163,Tottenham Hotspur,M,0,176.0,GHA,60000000.0,25
364612,Tottenham Hotspur,M,0,189.0,PRT,23000000.0,30
840217,Tottenham Hotspur,F,0,184.0,BRA,27000000.0,28
997183,Tottenham Hotspur,M,0,179.0,NLD,65000000.0,22
871706,Tottenham Hotspur,F,0,187.0,FRA,23000000.0,27
1085180,Tottenham Hotspur,F,0,186.0,WAL,38000000.0,24
1142679,Tottenham Hotspur,F,0,182.0,FRA,23000000.0,21
1142335,Tottenham Hotspur,D,0,187.0,ENG,34000000.0,19
1391251,Tottenham Hotspur,M,0,186.0,SWE,41000000.0,20
1002711,Tottenham Hotspur,M,0,185.0,SEN,32000000.0,23
1048888,Tottenham Hotspur,F,0,183.0,FRA,31000000.0,20
794953,Tottenham Hotspur,D,0,190.0,AUT,21000000.0,27
983572,Tottenham Hotspur,D,0,186.0,ITA,38000000.0,23
904970,Tottenham Hotspur,M,0,182.0,ENG,34000000.0,26
1012928,Sunderland,G,0,193.0,NLD,18700000.0,23
780014,Sunderland,D,0,185.0,FRA,14200000.0,28
989034,Sunderland,D,0,180.0,NIR,16300000.0,23
117777,Sunderland,M,1,185.0,CHE,10600000.0,33
984014,Sunderland,M,0,173.0,FRA,18400000.0,26
805137,Sunderland,D,0,187.0,PRY,12700000.0,29
1171539,Sunderland,M,0,173.0,COD,26000000.0,21
958878,Sunderland,D,0,187.0,NIR,17500000.0,26
831424,Sunderland,D,0,180.0,MOZ,5200000.0,32
856739,Sunderland,D,0,185.0,NLD,22000000.0,25
910048,Sunderland,F,0,180.0,NLD,21000000.0,24
1142675,Sunderland,M,0,175.0,MAR,20000000.0,20
877980,Sunderland,F,0,184.0,FRA,18500000.0,25
1110842,Sunderland,M,0,175.0,CIV,23000000.0,24
1168588,Sunderland,F,0,179.0,ESP,18600000.0,20
218160,Sunderland,F,0,180.0,BFA,4700000.0,30
1128532,Sunderland,M,0,179.0,SEN,34000000.0,22
1394089,Sunderland,M,0,177.0,ENG,24000000.0,18
1094440,Sunderland,F,0,177.0,ENG,5800000.0,22
1014987,Sunderland,D,0,180.0,ENG,7400000.0,23
836168,Nottingham Forest,D,0,195.0,SRB,28000000.0,28
994546,Nottingham Forest,M,0,179.0,ENG,54000000.0,23
927356,Nottingham Forest,D,0,183.0,WAL,23000000.0,24
865912,Nottingham Forest,M,1,171.0,ENG,62000000.0,26
78152,Nottingham Forest,G,0,188.0,BEL,6300000.0,33
1199282,Nottingham Forest,D,0,180.0,BRA,53000000.0,23
981619,Nottingham Forest,F,0,179.0,BRA,21000000.0,24
867442,Nottingham Forest,F,0,177.0,ENG,32000000.0,25
843754,Nottingham Forest,M,0,191.0,CIV,23000000.0,28
